iteration,ess,acceptance_rate,objective,time_per_eval,log_step_size
0,3.3168639606930714,0.9999999985989635,-8.93313594123437,4.013970136642456,0.0001695887022367005
1,9.051555509012632,0.9999795319211495,-3.197011767362058,0.860908031463623,0.0053628656450006515
2,3.377086635876373,0.9999999999787627,-8.87291336263701,0.9924778938293457,5.362865645000649e-05
3,6.7429753422298795,0.9966731193907944,-5.275249828584517,0.7071371078491211,0.05362865645000647
4,7.0176620671935535,0.9999997967720097,-5.232323706851252,1.0812010765075684,0.000536286564500065
5,10.116850584120131,0.9999978751651024,-2.1330006778885284,1.0065529346466064,0.0030157609736274613
6,3.3588774324353112,0.9999999999964806,-8.89112256731833,0.9969780445098877,3.015760973627463e-05
7,7.28209619304059,0.9990958091536625,-4.904692203824442,0.6869299411773682,0.030157609736274623
8,3.5668164787109107,0.9999999774949477,-8.68318194593548,1.0765769481658936,0.0003015760973627461
9,11.839894178238241,0.9999566647088541,-0.4070725391762924,0.7932841777801514,0.009536673555309768
